SNO,NAME,EXCHANGE
ALT,ALTIMMUNE INC,XNMS
ALVO,ALVOTECH,XNMS
AMAL,AMALGAMATED FINANCIAL CORP,XNMS
AMBR,AMBER INTERNATIONAL HOLDING LIMITED SPON ADS EACH REP 5 ORD SHS (POST SPLIT),XNMS
AMTX,AEMETIS INC,XNMS
ANIP,ANI PHARMACEUTICALS INC,XNMS
ANL,ADLAI NORTYE LTD,XNMS
ANSC,AGRICULTURE & NAT SOLUTIONS ACQ COR,XNMS
ANSCU,AGRICULTURE & NAT SOLUTIONS ACQ COR UNIT 1 CL A & 1/2 WT,XNMS
ANTA,ANTALPHA PLATFORM HOLDING COMPANY,XNMS
APAD,A PARADISE ACQUISITION CORP,XNMS
APADU,A PARADISE ACQUISITION CORP UNIT 1 ORD SHS CL A & 1 RT (29/07/2030),XNMS
APGE,APOGEE THERAPEUTICS INC,XNMS
APPF,APPFOLIO INC,XNMS
APPN,APPIAN CORPORATION,XNMS
APXTU,APEX TREASURY CORPORATION UNITS (1 CLASS A & 1/2 RED WT)07/10/2030,XNMS
AQST,AQUESTIVE THERAPEUTICS INC,XNMS
ARAI,ARRIVE AI INC,XNMS
ARBKL,ARGO BLOCKCHAIN PLC 8.75% SENIOR NOTES 30/11/2026,XNMS
ARCT,ARCTURUS THERAPEUTICS HOLDINGS INC,XNMS
ARDX,ARDELYX INC,XNMS
ARKR,ARK RESTAURANTS CORP,XNMS
ARQ,ARQ INC,XNMS
ARRY,ARRAY TECHNOLOGIES INC,XNMS
ARTV,ARTIVA BIOTHERAPEUTICS INC,XNMS
ASBP,ASPIRE BIOPHARMA HOLDINGS INC,XNMS
ASRV,AMERISERV FINANCIAL INC,XNMS
ASST,STRIVE INC,XNMS
ASTL,ALGOMA STEEL GROUP INC,XNMS
ATAI,ATAI BECKLEY NV,XNMS
ATII,ARCHIMEDES TECH SPAC PARTNERS II CO,XNMS
ATIIU,ARCHIMEDES TECH SPAC PARTNERS II CO UNITS 15/10/2029 (1 ORD SHS & 1/2 WT),XNMS
ATLCL,ATLANTICUS HLDGS CORP 6.125% SENIOR NOTES DUE 30/11/2026,XNMS
ATLCZ,ATLANTICUS HLDGS CORP 9.25% NTS 31/01/2029 USD25,XNMS
ATLN,ATLANTIC INTERNATIONAL CORP,XNMS
ATRC,ATRICURE INC,XNMS
ATXS,ASTRIA THERAPEUTICS INC,XNMS
AUBN,AUBURN NATL BANCORP,XNMS
AUPH,AURINIA PHARMACEUTICALS INC,XNMS
AURA,AURA BIOSCIENCES INC,XNMS
AVBP,ARRIVENT BIOPHARMA INC,XNMS
AVDL,AVADEL PHARMACEUTICALS PLC,XNMS
AVR,ANTERIS TECHNOLOGIES GLOBAL CORP,XNMS
AWRE,AWARE INC MASSACHUSETTS,XNMS
AXIN,AXIOM INTELLIGENCE ACQ CORP 1,XNMS
AXINU,AXIOM INTELLIGENCE ACQ CORP 1 UNIT 1 CL A SHS & 1 RT(10/06/2030),XNMS
AXSM,AXSOME THERAPEUTICS INC,XNMS
AZI,AUTOZI INTERNET TECHNOLOGY (GLOBAL) LTD,XNMS
BACC,BLUE ACQUISITION CORP.,XNMS
BACCU,BLUE ACQUISITION CORP. UNIT 1 CL A ORD SHS & 1 RT (02/06/2030),XNMS
BACQ,INFLECTION POINT ACQUISITION CORP,XNMS
BACQU,INFLECTION POINT ACQUISITION CORP UNIT 1 CL A & 1 RT,XNMS
BAER,BRIDGER AEROSPACE GROUP HOLDIGS INC,XNMS
BAYA,BAYVIEW ACQUISITION CORPORATION,XNMS
BAYAU,BAYVIEW ACQUISITION CORPORATION UNIT (1 COM & 1 RT),XNMS
BBNX,BETA BIONICS INC,XNMS
BBOT,BRIDGEBIO ONCOLOGY THERAPEUTICS INC,XNMS
BCAR,D. BORAL ARC ACQUISITION I CORP.,XNMS
BCARU,D. BORAL ARC ACQUISITION I CORP. UNITS (1 SHS CL A & 1/2 WT)23/07/2030,XNMS
BCAX,BICARA THERAPEUTICS INC,XNMS
BCBP,BCB BANCORP INC,XNMS
BCG,BINAH CAPITAL GROUP  INC,XNMS
BDCI,BTC DEVELOPMENT CORP,XNMS
BDCIU,BTC DEVELOPMENT CORP UNIT 1 CL A & 1/4 WT EXP (11/09/2030),XNMS
BDSX,BIODESIX INC,XNMS
BEAG,BOLD EAGLE ACQUISITION CORP,XNMS
BEAGU,BOLD EAGLE ACQUISITION CORP UNITS CONSISTING ONE CL A SHS & ONE RT,XNMS
BEEP,MOBILE INFRASTRUCTURE CORP,XNMS
BETR,BETTER HOME & FINANCE HOLDING,XNMS
BGIN,BGIN BLOCKCHAIN LIMITED,XNMS
BGL,BLUE GOLD LIMITED,XNMS
BHST,BIOHARVEST SCIENCES INC,XNMS
BITF,BITFARMS LTD,XNMS
BKHA,BLACK HAWK ACQUISITION CORPORATION,XNMS
BKHAU,BLACK HAWK ACQUISITION CORPORATION UNITS(1 ORD A & 1/5 RT),XNMS
BLBD,BLUE BIRD CORP,XNMS
BLDP,BALLARD POWER SYSTEMS INC,XNMS
BLUW,BLUE WATER ACQUISITION CORP. III,XNMS
BLUWU,BLUE WATER ACQUISITION CORP. III UNIT 1 CL A ORD SHS & 1/2 WT(23/05/2030),XNMS
BLZE,BACKBLAZE INC,XNMS
BLZR,TRAILBLAZER ACQUISITION CORP,XNMS
BLZRU,TRAILBLAZER ACQUISITION CORP UNITS 1 CL A & 1/3 RED WT (21/08/2030),XNMS
BNR,BURNING ROCK BIOTECH LTD SPON ADS EACH REP 10 ORD CL A R/S,XNMS
BRCB,BLACK ROCK COFFEE BAR INC.,XNMS
BRID,BRIDGFORD FOODS CORP,XNMS
BRLT,BRILLIANT EARTH GROUP INC,XNMS
BRNS,BARINTHUS BIOTHERAPEUTICS PLC ADR EACH REPR 1 ORD SH SPON,XNMS
BRR,COLUMBUS CIRCLE CAP CORP I,XNMS
BRRWU,COLUMBUS CIRCLE CAP CORP I UNITS ONE CL A SH & 1/2 WT(16/05/2030),XNMS
BTMD,BIOTE CORP,XNMS
BTOC,ARMLOGI HOLDING CORP,XNMS
BTQ,BTQ TECHNOLOGIES CORP,XNMS
BWAY,BRAINSWAY LTD SPON ADS EACH REP 2 ORD SHS,XNMS
BWFG,BANKWELL FINL GROUP INC,XNMS
BWMN,BOWMAN CONSULTING GROUP LTD,XNMS
BZAI,BLAIZE HOLDINGS INC,XNMS
CADL,CANDEL THERAPEUTICS INC,XNMS
CAEP,CANTOR EQUITY PARTNERS III  INC.,XNMS
CAMP,CAMP4 THERAPEUTICS CORPORATION,XNMS
CAMT,CAMTEK LIMITED,XNMS
CAN,CANAAN INC SPON ADS EACH REP 15 ORD SHS CL A,XNMS
CAPN,CAYSON ACQUISITION CORP,XNMS
CAPNU,CAYSON ACQUISITION CORP UNITS(1 ORD & 1 RT),XNMS
CAPT,CAPTIVISION INC,XNMS
CBFV,CB FINANCIAL SERVICES INC,XNMS
CCAP,CRESCENT CAPITAL BDC INC,XNMS
CCCX,CHURCHILL CAPITAL CORP X,XNMS
CCCXU,CHURCHILL CAPITAL CORP X UNITS 1 ORD A & 1/4 RED WT(14/05/2030),XNMS
CCII,COHEN CIRCLE ACQUISITION CORP II,XNMS
CCIIU,COHEN CIRCLE ACQUISITION CORP II UNIT (1 CLA SHS & 1/4 WT A)01/07/2030,XNMS
CCIX,CHURCHILL CAP CORP IX,XNMS
CCIXU,CHURCHILL CAP CORP IX UNIT 1 CL A SHS & 1/4 WT EXP,XNMS
CCLD,CARECLOUD INC,XNMS
CCLDO,CARECLOUD INC 8.75% CUM RED PERP PFD SER B,XNMS
CDLX,CARDLYTICS INC,XNMS
CDNA,CAREDX INC,XNMS
CDZI,CADIZ INC,XNMS
CDZIP,CADIZ INC DEP SHS 1/1000TH SER A PFD CUM STK,XNMS
CEP,CANTOR EQUITY PARTNERS INC,XNMS
CEPF,CANTOR EQUITY PARTNERS IV INC,XNMS
CEPO,CANTOR EQUITY PARTNERS I INC,XNMS
CEPT,CANTOR EQUITY PARTNERS II INC,XNMS
CEPV,CANTOR EQUITY PARTNERS V INC,XNMS
CERS,CERUS CORP,XNMS
CGBDL,CARLYLE SECD LENDI 8.20% SENIOR NOTES 2028 USD 25,XNMS
CGCT,CARTESIAN GROWTH CORP III,XNMS
CGCTU,CARTESIAN GROWTH CORP III UNIT 1 CL A & 1/2 WT EXP,XNMS
CHAC,CRANE HBR ACQUISITION CORP,XNMS
CHACU,CRANE HBR ACQUISITION CORP UNIT 1 CL A & 1 RT,XNMS
CHAR,CHARLTON ARIA ACQUISITION CORP,XNMS
CHARU,CHARLTON ARIA ACQUISITION CORP UNIT 1 CLASS A & 1 RIGHT,XNMS
CHEC,CHENGHE ACQUISITION III CO,XNMS
CHECU,CHENGHE ACQUISITION III CO UNIT 1 CL A ORD & 1/2 WT(09/09/2030),XNMS
CHPG,CHAMPIONSGATE ACQUISITION CORP,XNMS
CHPGU,CHAMPIONSGATE ACQUISITION CORP UNITS 1 CL A SHS & 1 RT (14/05/2030),XNMS
CHRS,COHERUS ONCOLOGY INC,XNMS
CLFD,CLEARFIELD INC,XNMS
CLLS,CELLECTIS ADS EACH REPR 1 ORD SPON,XNMS
CLMB,CLIMB GLOBAL SOLUTIONS INC,XNMS
CLPS,CLPS INCORPORATION,XNMS
CLSD,CLEARSIDE BIOMEDICAL INC,XNMS
CLYM,CLIMB BIO INC,XNMS
CMBM,CAMBIUM NETWORKS CORPORATION,XNMS
CMRC,COMMERCE.COM INC.,XNMS
CNCK,COINCHECK GROUP NV,XNMS
CNTB,CONNECT BIOPHARMA HLDGS LTD,XNMS
COLA,COLUMBUS ACQUISITION CORP,XNMS
COLAU,COLUMBUS ACQUISITION CORP UNITS 26/12/2029 (1 ORD SHS & 1 RIGHT),XNMS
CPHC,CANTERBURY PARK HLDGS CORP,XNMS
CPSS,CONSUMER PORTFOLIO SERVICES,XNMS
CRACU,CROWN RESERVE ACQUISITION CORP. I UNIT 1 CL A 1/2 WT & 1 RT (14/10/2030),XNMS
CRAQ,CAL REDWOOD ACQUISITION CORP,XNMS
CRAQU,CAL REDWOOD ACQUISITION CORP UNIT 1 CL A & 1 RT(15/05/2030),XNMS
CREV,CARBON REVOLUTION PUBLIC LIMITED CO,XNMS
CRMD,CORMEDIX INC,XNMS
CRML,CRITICAL METALS CORPORATION,XNMS
CRON,CRONOS GROUP INC,XNMS
CRSP,CRISPR THERAPEUTICS AG,XNMS
CRVS,CORVUS PHARMACEUTICALS INC,XNMS
CSPI,CSP INC,XNMS
CSTL,CASTLE BIOSCIENCES INC,XNMS
CUB,LIONHEART HLDGS,XNMS
CUBWU,LIONHEART HLDGS UNITS (1 ORD & 1/2 WT),XNMS
CURR,CURRENC GROUP INC,XNMS
CVAC,CUREVAC NV,XNMS
CYCU,CYCURION INC,XNMS
CZWI,CITIZENS COMMUNITY BANCORP INC MD,XNMS
DAAQ,DIGITAL ASSET ACQUISITION CORP.,XNMS
DAAQU,DIGITAL ASSET ACQUISITION CORP. UNIT 1 SHS CL A &1/2 RED WT,XNMS
DAIC,CID HOLDCO INC,XNMS
DAVE,DAVE INC,XNMS
DCOMG,DIME COMMUNITY BANCSHARES INC. 9.000% NTS 15/07/2034 USD 25,XNMS
DIBS,1STDIBS COM INC,XNMS
DJT,TRUMP MEDIA & TECHNOLOGY GROUP CORP,XNMS
DMAA,DRUGS MADE IN AMER ACQUISITION CORP,XNMS
DMAAU,DRUGS MADE IN AMER ACQUISITION CORP UNIT EXP 15/10/2029 (1 ORD SHS & 1 RT),XNMS
DMIIU,DRUGS MADE IN AMERICA ACQ II CORP UNITS 1 ORD SH &S 1 RT (16/09/2030),XNMS
DNMXU,DYNAMIX CORPORATION III UNIT (1 SHS CL A & 1/2 RED WT)09/10/2030,XNMS
DOMO,DOMO INC,XNMS
DRDB,ROMAN DBDR ACQUISITION CORP II,XNMS
DRDBU,ROMAN DBDR ACQUISITION CORP II,XNMS
DSWL,DESWELL INDS INC,XNMS
DSY,BIG TREE CLOUD HOLDINGS LIMITED,XNMS
DTSQ,DT CLOUD STAR ACQUISITION CORP,XNMS
DTSQU,DT CLOUD STAR ACQUISITION CORP UNIT 1 ORD SH & RT CONSISTING 1/9 ORD SH,XNMS
DXLG,DESTINATION XL GROUP INC,XNMS
DYCQ,DT CLOUD ACQUISITION CORPORATION,XNMS
DYCQU,DT CLOUD ACQUISITION CORPORATION UNIT 1 SH & 1 RT TO RECEIVE 1/7 ORD SH,XNMS
DYORU,INSIGHT DIGITAL PARTNERS II UNIT (1 SHS CL A & 1/2 RED WT)28/10/2030,XNMS
EBMT,EAGLE BANCORP MONTANA INC,XNMS
ECX,ECARX HOLDINGS INC,XNMS
EDAP,EDAP TMS S.A. SPON ADR EACH REPR 1 ORD SHARE,XNMS
EDUC,EDUCATIONAL DEVELOPMENT CORP,XNMS
EGHA,EGH ACQUISITION CORP,XNMS
EGHAU,EGH ACQUISITION CORP UNITS 1 CL A ORD SH & 1 RT,XNMS
EH,EHANG HOLDINGS LIMITED SPON ADS EACH REP 2 ORD SHS CL A,XNMS
ELPW,ELONG POWER HOLDING LIMITED,XNMS
EMIS,EMMIS ACQUISITION CORP.,XNMS
EML,EASTERN CO,XNMS
ENPH,ENPHASE ENERGY INC,XNMS
EOLS,EVOLUS INC,XNMS
EPSN,EPSILON ENERGY LTD,XNMS
EPWK,EPWK HOLDINGS LTD,XNMS
ESCA,ESCALADE INC,XNMS
ESPR,ESPERION THERAPEUTICS INC,XNMS
ETHM,DYNAMIX CORP,XNMS
ETHMU,DYNAMIX CORP UNITS (25/10/2029)1 CLASS A & 1/2 RED WT,XNMS
ETON,ETON PHARMACEUTICALS INC,XNMS
EVER,EVERQUOTE INC,XNMS
EVOXU,EVOLUTION GLOBAL ACQUISITION CORP UNITS 1 CL A ORD & 1/2 RED WAR,XNMS
EXPI,EXP WORLD HOLDINGS  INC,XNMS
EYPT,EYEPOINT PHARMACEUTICALS INC,XNMS
FACT,FACT II ACQUISITION CORP,XNMS
FACTU,FACT II ACQUISITION CORP UNIT 1 ORD SHS CL A & 1/2 WT EXP,XNMS
FATE,FATE THERAPEUTICS,XNMS
FBYD,FALCONS BEYOND GLOBAL INC,XNMS
FCEL,FUELCELL ENERGY INC,XNMS
FDBC,FIDELITY D&D BANCORP,XNMS
FEIM,FREQUENCY ELECTRONICS INC,XNMS
FERA,FIFTH ERA ACQUISITION CORPORATION I,XNMS
FERAU,FIFTH ERA ACQUISITION CORPORATION I UNIT 1 CLASS A & 1 RIGHT,XNMS
FGBI,FIRST GUARANTY BANCSHARES INC,XNMS
FGBIP,FIRST GUARANTY BANCSHARES INC DEP SHS EACH REP 1/40TH SHS SER A USD25,XNMS
FGMC,FG MERGER II CORP,XNMS
FGMCU,FG MERGER II CORP UNIT 1 COM & 1 RT (11/02/2030),XNMS
FGNX,FG NEXUS INC.,XNMS
FGNXP,FG NEXUS INC. 8.00% CUM PRE STK SERIES A,XNMS
FGXCU,FG MERGER III CORP. UNIT 1 COM & 1/ UNIT 1 COM & 1/2 WT EXP(15/10/2028),XNMS
FHTX,FOGHORN THERAPEUTICS INC,XNMS
FIGX,FIGX CAPITAL ACQUISITION CORP.,XNMS
FIGXU,FIGX CAPITAL ACQUISITION CORP. UNITS 1 CL A SHS &1/2 WT(17/06/2030),XNMS
FINW,FINWISE BANCORP,XNMS
FIVN,FIVE9 INC,XNMS
FLGT,FULGENT GENETICS INC,XNMS
FLY,FIREFLY AEROSPACE INC,XNMS
FMBH,FIRST MID BANCSHARES INC,XNMS
FNWB,FIRST NORTHWEST BANCORP,XNMS
FOLD,AMICUS THERAPEUTICS INC,XNMS
FRBA,FIRST BANK WILLIAMSTOWN (NJ),XNMS
FRPT,FRESHPET  INC,XNMS
FRST,PRIMIS FINANCIAL CORP,XNMS
FSHP,FLAG SHIP ACQUISITION CORPORATION,XNMS
FSHPU,FLAG SHIP ACQUISITION CORPORATION UNITS 1 ORD SHS & 1 WT EXP,XNMS
FULC,FULCRUM THERAPEUTICS INC,XNMS
FUSE,FUSEMACHINES INC,XNMS
FUTU,FUTU HOLDINGS LIMITED SPON ADS EACH REP 8 ORD SHS CL A,XNMS
GAIA,GAIA INC NEW,XNMS
GAMB,GAMBLING.COM GROUP LIMITED,XNMS
GANX,GAIN THERAPEUTICS INC,XNMS
GAUZ,GAUZY LTD,XNMS
GCMG,GCM GROSVENOR INC,XNMS
GCT,GIGACLOUD TECHNOLOGY INC,XNMS
GDEN,GOLDEN ENTMT INC,XNMS
GDEV,GDEV INC,XNMS
GDS,GDS HOLDINGS LTD SPON ADS EACH REP 8 ORD CL A,XNMS
GECC,GREAT ELM CAPITAL CORP,XNMS
GECCG,GREAT ELM CAPITAL CORP 7.75% NOTES DUE 31/12/2030,XNMS
GECCH,GREAT ELM CAPITAL CORP 8.125% NTS 31/12/29 USD25,XNMS
GECCI,GREAT ELM CAPITAL CORP 8.5% NTS 30/04/29 USD25,XNMS
GECCO,GREAT ELM CAPITAL CORP 5.875% SR NOTES 30/06/2026,XNMS
GEGGL,GREAT ELM GROUP INC 7.25% NTS 30/06/2027 USD25,XNMS
GENK,GEN RESTAURANT GROUP INC,XNMS
GHRS,GH RESEARCH PLC,XNMS
GIG,GIGCAPITAL7 CORP.,XNMS
GIGGU,GIGCAPITAL7 CORP. UNIT 1 ORD SHS CL A & 1 WT EXP,XNMS
GIW,GIGCAPITAL8 CORP,XNMS
GIWWU,GIGCAPITAL8 CORP UNIT 1 CLASS A & 1 RIGHT (30/09/2030),XNMS
GLDI,UBS AG ETRACS TRACKER ZERT 28/01/2033,XNMS
GPAT,GP-ACT III ACQUISITION CORP,XNMS
GPATU,GP-ACT III ACQUISITION CORP UNIT 1 CLASS A & 1/2 RED WT,XNMS
GPCR,STRUCTURE THERAPEUTICS INC SPON ADS EACH REP 3 ORD,XNMS
GRVY,GRAVITY CO LTD SPON ADS EA REP 1 ORD,XNMS
GSHR,GESHER ACQUISITION CORPORATION II ORD USD0.0001 CL A,XNMS
GSHRU,GESHER ACQUISITION CORPORATION II UNITS(1 CL A ORD & 1/2 RED WT)11/03/2030,XNMS
GSRF,GSR IV ACQUISITION CORP,XNMS
GSRFU,GSR IV ACQUISITION CORP UNIT 1 CLASS A & 1/14 RT(22/08/2030),XNMS
GTEN,GORES HLDGS X INC,XNMS
GTENU,GORES HLDGS X INC UNIT 1 CL A ORD SH & 1/4 WT,XNMS
GTERA,GLOBA TERRA ACQUISITION CORPORATION,XNMS
GTERU,GLOBA TERRA ACQUISITION CORPORATION UNIT (1 ORD CL A & 3/4 WT)17/06/2030,XNMS
GTI,GRAPHJET TECHNOLOGY,XNMS
GUTS,FRACTYL HEALTH INC,XNMS
GWRS,GLOBAL WATER RESOURCES INC,XNMS
HAVAU,HARVARD AVE ACQUISITION CORP UNITS 1 CL A & 1 RT (03/10/2030),XNMS
HCMA,HCM III ACQUISITION CORP,XNMS
HCMAU,HCM III ACQUISITION CORP UNIT 1 CL A & 1/3 RED WT EXP 23/07/2030,XNMS
HDL,SUPER HI INTERNATIONAL HOLDING LTD SPON ADS EACH REP 10 ORD SHS,XNMS
HHS,HARTE-HANKS INC,XNMS
HIFS,HINGHAM INSTITUTION FOR SAVINGS,XNMS
HLMN,HILLMAN SOLUTIONS CORP,XNMS
HNNA,HENNESSY ADVISORS INC,XNMS
HNNAZ,HENNESSY ADVISORS INC 4.875% SENIOR NOTES DUE 31/12/2026,XNMS
HOVNP,HOVNANIAN ENTERPRISES INC PRF STK SERIES 'A' USD25.00,XNMS
HPK,HIGHPEAK ENERGY INC,XNMS
HRMY,HARMONY BIOSCIENCES HLDGS INC,XNMS
HROW,HARROW INC,XNMS
HSPT,HORIZON SPACE ACQUISITION II CORP,XNMS
HSPTU,HORIZON SPACE ACQUISITION II CORP UNITS EXP 04/11/2029 (1 ORD & 1 RT),XNMS
HUIZ,HUIZE HOLDING LIMITED SPON ADS EA RP 100 ORD CL A,XNMS
HVII,HENNESSY CAPITAL INVESTMNT CORP VII,XNMS
HVIIU,HENNESSY CAPITAL INVESTMNT CORP VII UNIT 1 CL A ORD SHS & 1 RT,XNMS
HVMC,HIGHVIEW MERGER CORP,XNMS
HVMCU,HIGHVIEW MERGER CORP UNITS(1 ORD A & 1/2 WTS),XNMS
HYPR,HYPERFINE INC,XNMS
IBAC,IB ACQUISITION CORP.,XNMS
IBEX,IBEX LTD,XNMS
IDN,INTELLICHECK INC,XNMS
IESC,IES HOLDINGS INC,XNMS
III,INFORMATION SERVICES GROUP INC,XNMS
IMMP,IMMUTEP LTD SPON ADS EACH REP 10 ORD SHS,XNMS
IMRX,IMMUNEERING CORP,XNMS
INAC,INDIGO ACQUISITION CORP,XNMS
INACU,INDIGO ACQUISITION CORP UNIT (1 SHS & 1 RIGHT(01/07/2030,XNMS
INCR,INTERCURE LTD,XNMS
INOD,INNODATA INC,XNMS
INV,INNVENTURE INC,XNMS
IOVA,IOVANCE BIOTHERAPEUTICS INC,XNMS
IPCX,INFLECTION POINT ACQUISITION CORP,XNMS
IPCXU,INFLECTION POINT ACQUISITION CORP UNITS (1 CL A &1/10 RT) 01/03/2027,XNMS
IPOD,DUNE ACQUISITION CORP II,XNMS
IPODU,DUNE ACQUISITION CORP II UNITS 04/04/2025 (1 CL A & 3/4 OF 1 WT),XNMS
IRMD,IRADIMED CORP,XNMS
IRON,DISC MEDICINE INC,XNMS
ISPO,INSPIRATO INCORPORATED,XNMS
ISRL,ISRAEL ACQUISITIONS CORP,XNMS
ISRLU,ISRAEL ACQUISITIONS CORP UNIT 1 CL A SHS & 1 WT EXP,XNMS
ISTR,INVESTAR HOLDING CORP,XNMS
IVA,INVENTIVA SA SPON ADS EACH REP 1 ORD SHS,XNMS
IVVD,INVIVYD INC,XNMS
JANX,JANUX THERAPEUTICS INC,XNMS
JFIN,JIAYIN GROUP INC SPON ADS EACH REP 4 ORD SHS CL A,XNMS
JFU,9F INC SPON ADS EACH REP 20 ORD(P/S),XNMS
KALV,KALVISTA PHARMACEUTICALS INC,XNMS
KBSX,FST CORP,XNMS
KCHV,KOCHAV DEFENSE ACQUISITION CORP.,XNMS
KCHVU,KOCHAV DEFENSE ACQUISITION CORP. UNITS 1 ORD A & 1 RT(21/05/2030),XNMS
KDK,KODIAK AI INC.,XNMS
KEQU,KEWAUNEE SCIENTIFIC CORP,XNMS
KFFB,KENTUCKY FIRST FEDERAL BANCORP,XNMS
KFII,K&F GROWTH ACQUISITION CORP II,XNMS
KFIIU,K&F GROWTH ACQUISITION CORP II UNIT 1 ORD SHS CL A & 1 RT,XNMS
KIDS,ORTHOPEDIATRICS CORP,XNMS
KLRS,KALARIS THERAPEUTICS INC,XNMS
KOD,KODIAK SCIENCES INC,XNMS
KOYN,CSLM DIGITAL ASSET ACQUISITION CORP,XNMS
KOYNU,CSLM DIGITAL ASSET ACQUISITION CORP UNIT 1 CL A  & 1/2 RED WT(12/08/2030),XNMS
KPLT,KATAPULT HLDGS INC,XNMS
KROS,KEROS THERAPEUTICS INC,XNMS
KRUS,KURA SUSHI USA INC,XNMS
KTCC,KEY TRONIC CORP,XNMS
KVAC,KEEN VISION ACQUISITION CORPORATION,XNMS
KVACU,KEEN VISION ACQUISITION CORPORATION UNIT 1 ORD & 1 WT EXP,XNMS
KWM,K WAVE MEDIA LTD,XNMS
KYMR,KYMERA THERAPEUTICS INC,XNMS
LAFAU,LAFAYETTE ACQUISITION CORP UNIT (1 ORD & 1 RT)24/10/2030,XNMS
LAKE,LAKELAND INDUSTRIES,XNMS
LAND,GLADSTONE LAND CORP,XNMS
LANDM,GLADSTONE LAND CORP 5.000% CUM TERM PFD SER D  USD25.00,XNMS
LANDO,GLADSTONE LAND CORP 6.00% CUM REDEEMABLE PFD STK SER B,XNMS
LANDP,GLADSTONE LAND CORP 6% CUM RED PFD SER C,XNMS
LARK,LANDMARK BANCORP INC(KANSAS),XNMS
LATA,GALATA ACQUISITION CORP II,XNMS
LATAU,GALATA ACQUISITION CORP II UNITS 1 ORD CL A & 1/3 WT EXP 12/09/2030,XNMS
LBRX,LB PHARMACEUTICALS INC,XNMS
LCCC,LAKESHORE ACQUISITION III CORP.,XNMS
LCCCU,LAKESHORE ACQUISITION III CORP. UNIT 1 ORD SHS & 1 RIGHT,XNMS
LFMD,LIFEMD INC,XNMS
LFMDP,LIFEMD INC PFD SER A 8.875%,XNMS
LGND,LIGAND PHARMACEUTICAL INC,XNMS
LIEN,CHICAGO ATLANTIC BDC INC,XNMS
LIMN,LIMINATUS PHARMA INC,XNMS
LKSP,LAKE SUPERIOR ACQUISITION CORP,XNMS
LKSPR,LAKE SUPERIOR ACQUISITION CORP COM NPV(S/R 19/09/2030),XNMS
LKSPU,LAKE SUPERIOR ACQUISITION CORP UNITS 1 CL A & 1/7 RT 19/09/2030,XNMS
LMAT,LEMAITRE VASCULAR INC,XNMS
LNTH,LANTHEUS HOLDINGS INC,XNMS
LOKV,LIVE OAK ACQUISITION CORP V,XNMS
LOKVU,LIVE OAK ACQUISITION CORP V UNITS 1 CL A & 1/2 RED WT,XNMS
LOOP,LOOP INDUSTRIES INC,XNMS
LOVE,LOVESAC COMPANY,XNMS
LPAA,LAUNCH ONE ACQUISITION CORP,XNMS
LPAAU,LAUNCH ONE ACQUISITION CORP UNIT (1 CL A ORD SHS & 1/2 RED WT),XNMS
LPBB,LAUNCH TWO ACQUISITION CORP,XNMS
