index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,VOLATILITY,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,medium_bullish,weak_bullish,buy_price,tp1_price,tp2_price,tp3_price,SNO
2025-12-12,1519.HK,10.079999923706056,10.90999984741211,10.010000228881836,10.609999656677246,10.609999656677246,37200600,0.0,0.0,10.263701292034616,10.100255258523704,9.970069757369304,9.60382868233942,8.725078144784023,True,True,True,False,0.8999996185302734,0.2721429552350726,0.4082144328526089,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP1-2025/10/27,False,False,False,False,True,False,False,False,False,False,0.0,0,0,False,,,,,,,1519.HK
2025-11-20,1729.HK,15.06999969482422,15.789999961853027,14.649999618530272,14.760000228881836,14.760000228881836,14162445,0.0,0.0,14.414907321303309,14.655470012603551,14.419914733141644,12.876837843174554,9.387375061120558,False,False,False,False,1.1400003433227557,0.9362498521804812,1.4043747782707217,LH,LHLLHH,13.119999885559082,2025-11-21,16.440000534057617,2025-11-27,17.389999389648438,0.33,13.43000030517578,13.140000343322754,SB1-2025/11/20,True,True,True,False,False,False,False,False,False,True,1.0,4,1,True,1.0,2.0,15.25,17.389999389648438,19.529998779296875,21.669998168945312,1729.HK
2025-11-03,1833.HK,13.800000190734863,14.56999969482422,13.800000190734863,14.420000076293944,14.420000076293944,19047815,0.0,0.0,14.866481052874729,16.04761759994096,16.529501881596815,14.998260679672786,12.705745074945272,False,False,False,False,0.7699995040893572,0.8150001102023656,1.2225001653035483,LH,LHLLHH,13.119999885559082,2025-11-07,15.279999732971191,2025-11-14,15.729999542236328,0.2,13.18000030517578,13.18000030517578,SB1-2025/11/03,False,False,False,False,False,False,False,False,False,True,1.0,5,1,True,2.0,2.0,14.42,15.729999542236328,17.039999084472655,18.349998626708985,1833.HK
2025-11-18,1833.HK,14.880000114440918,15.18000030517578,14.119999885559082,14.289999961853027,14.289999961853027,16297763,0.0,0.0,14.457427304106684,14.916758494056566,15.69358224404031,14.830789041729457,12.825853153956569,False,False,False,False,1.0600004196166974,0.7093749642372136,1.0640624463558204,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2025/11/03,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,,,,,1833.HK
2025-09-19,1898.HK,9.619999885559082,9.970000267028809,9.56999969482422,9.869999885559082,9.869999885559082,29951153,0.0,0.0,9.646457662458806,9.644772157103512,9.593897910916326,9.3588690536,8.965120851215731,True,True,True,False,0.400000572204588,0.261999893188477,0.3929998397827156,LH,LHLLHH,9.140000343322754,2025-10-02,11.100000381469728,2025-10-20,11.170000076293944,0.22,9.210000038146973,9.170000076293944,SB1-2025/09/19,True,True,True,False,False,False,False,False,False,True,0.73,8,5,True,1.0,2.0,10.16,11.170000076293944,12.180000152587889,13.19000022888183,1898.HK
2025-11-10,2400.HK,69.69999694824219,72.5,69.0999984741211,70.6500015258789,70.6500015258789,3019755,0.0,0.0,69.76152558098408,71.42372675676721,72.25552986722184,66.69607088192883,51.21210542762672,False,False,False,False,3.4000015258789062,2.7029414457433365,5.405882891486673,LH,LHLLHH,63.5,2025-11-21,73.6500015258789,2025-12-01,75.44999694824219,0.19,64.80000305175781,64.80000305175781,SB1-2025/11/10,False,False,False,False,False,False,False,False,False,True,0.83,5,1,True,3.0,1.0,69.47,75.44999694824219,81.42999389648438,87.40999084472656,2400.HK
2025-12-03,2400.HK,73.8499984741211,73.8499984741211,68.3499984741211,68.5,68.5,3555800,0.0,0.0,70.04492050297473,69.86971281634608,70.71912850765715,67.36812492566585,53.46920284630979,False,False,False,False,5.5,2.3970574771656707,4.7941149543313415,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2025/11/10,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,,,,,2400.HK
2025-12-10,2400.HK,64.5999984741211,64.5999984741211,60.70000076293945,63.150001525878906,63.150001525878906,4700100,0.0,0.0,66.79086580058522,68.13059977178133,69.71965021879254,67.16589548051167,53.93173541394555,False,False,False,False,3.8999977111816406,2.30333251953125,4.6066650390625,,,0.0,,0.0,,0.0,0.0,0.0,0.0,CL1-2025/11/10,False,False,False,False,False,False,False,True,False,False,0.0,0,0,False,,,,,,,2400.HK
2025-11-20,2577.HK,78.4000015258789,81.0,76.0999984741211,76.25,76.25,6414950,0.0,0.0,74.98131651260975,76.1163406302222,77.25282582940454,71.83377646582518,,False,False,False,False,4.900001525878906,4.086665852864583,8.173331705729167,LH,LHLLHH,67.6500015258789,2025-11-28,81.3499984741211,2025-12-09,89.75,0.33,67.8499984741211,67.8499984741211,SB1-2025/11/20,False,False,False,False,False,False,False,False,False,True,0.71,5,1,True,4.0,0.0,78.7,89.75,100.8,111.85,2577.HK
2025-12-11,2577.HK,81.5999984741211,82.30000305175781,77.94999694824219,78.9000015258789,78.9000015258789,2655400,0.0,0.0,77.9953185285806,76.33687182202024,76.4286034743349,72.66098605448005,,False,False,False,False,4.350006103515625,3.84999942779541,7.69999885559082,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2025/11/20,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,,,,,2577.HK
2025-11-27,2601.HK,30.739999771118164,31.959999084472656,30.520000457763672,31.299999237060547,31.299999237060547,13770700,0.0,0.0,31.648638038642584,31.97187558556968,31.97879665297379,31.16867983632572,28.23354570233661,False,False,False,False,1.4399986267089844,0.8717644635368794,1.3076466953053192,LH,LHLLHH,30.26000022888184,2025-12-01,33.97999954223633,2025-12-08,34.720001220703125,0.15,30.5,30.5,SB1-2025/11/27,True,True,True,False,False,False,False,False,False,True,0.8,4,2,True,2.0,0.0,32.49,34.720001220703125,36.95000244140625,39.18000366210937,2601.HK
2025-12-10,2601.HK,33.060001373291016,33.2400016784668,32.63999938964844,32.939998626708984,32.939998626708984,12394517,0.0,0.0,32.48269742869417,32.23027585685403,32.08267752016748,31.35126205346189,28.512534025844605,True,True,True,False,0.6000022888183594,0.8458821913775274,1.268823287066291,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2025/11/27,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,,,,,2601.HK
2025-12-12,2601.HK,32.81999969482422,34.65999984741211,32.63999938964844,34.599998474121094,34.599998474121094,31774113,0.0,0.0,32.90593792039086,32.47680841810549,32.20616252778632,31.442548711899708,28.59445631349148,True,True,True,False,2.020000457763672,0.8312497138977049,1.2468745708465572,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP1-2025/11/27,False,False,False,False,True,False,False,False,False,False,0.0,0,0,False,,,,,,,2601.HK
2025-10-15,2888.HK,149.1999969482422,151.5,148.0,151.3000030517578,151.3000030517578,392741,0.0,0.0,151.09836237878235,150.3076442122501,146.9219603460807,139.5158727302859,120.92283321216004,True,True,True,False,3.5,2.6133331298828124,5.226666259765625,LH,LHLLHH,141.3000030517578,2025-10-17,162.0,2025-11-04,165.89999389648438,0.17,146.10000610351562,146.10000610351562,SB1-2025/10/15,True,True,True,False,False,False,False,False,False,True,0.73,8,3,True,3.0,2.0,153.6,165.89999389648438,178.19998779296876,190.49998168945316,2888.HK
2025-09-22,3690.HK,105.1999969482422,105.5,102.3000030517578,103.9000015258789,103.9000015258789,70033614,0.0,0.0,103.13554815416666,105.79540556932784,113.32040660201488,122.8729759291465,132.41454176908306,False,False,False,False,3.1999969482422017,3.410714285714287,6.821428571428574,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2025/09/10,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,,,,,3690.HK
2025-10-17,3690.HK,98.5500030517578,98.5999984741211,94.0500030517578,94.5,94.5,72221262,0.0,0.0,99.91908001180416,102.00922031575011,107.48472567262635,116.76184721253578,128.51785030188066,False,False,False,False,4.549995422363296,3.013332621256513,6.026665242513027,LL,LLLHHL,105.3000030517578,2025-10-30,101.1999969482422,2025-11-05,98.3000030517578,-0.07,94.0500030517578,94.0500030517578,CL1-2025/09/10,False,False,False,False,False,False,False,True,False,False,0.0,0,0,False,,,,,,,3690.HK
2025-10-14,3808.HK,23.89999961853028,23.89999961853028,22.39999961853028,22.57999992370605,22.57999992370605,3874688,0.0,0.0,23.23319824931061,22.88579473022404,22.73788951989708,22.43603566117921,21.55024696395109,True,True,True,False,1.5,0.5876921140230611,0.8815381710345916,HL,HLHHHL,25.18000030517578,2025-10-15,23.84000015258789,2025-10-16,23.479999542236328,-0.07,20.36000061035156,20.34000015258789,BY1-2025/09/04,True,True,True,True,False,False,False,False,False,False,0.0,0,0,False,,,,,,,3808.HK
2025-10-15,3808.HK,22.700000762939453,25.18000030517578,22.700000762939453,25.040000915527344,25.040000915527344,7431175,0.0,0.0,23.561707824986375,23.07311700720694,22.828168398157093,22.487599329582142,21.57805376834612,True,True,True,False,2.479999542236328,0.6107691251314595,0.9161536876971892,HH,HHHLHH,23.479999542236328,2025-10-16,23.940000534057617,2025-10-17,25.5,0.09,20.799999237060547,20.34000015258789,TP1-2025/09/04,True,True,True,False,True,False,False,False,False,False,0.0,0,0,False,,,,,,,3808.HK
2025-10-30,3808.HK,25.8799991607666,26.799999237060547,25.5,26.299999237060547,26.299999237060547,5404141,0.0,0.0,24.98518701567245,24.21147656159967,23.50024266686584,22.91080114607184,21.82543535963216,True,True,True,False,1.2999992370605469,0.7757146017892015,1.1635719026838025,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP2-2025/09/04,False,False,False,False,False,True,False,False,False,False,0.0,0,0,False,,,,,,,3808.HK
2025-10-21,0004.HK,21.07999992370605,21.200000762939453,20.739999771118164,20.89999961853028,20.89999961853028,1331381,0.0,0.0,21.46497619992951,21.91361371378654,22.25442064829234,22.12373489894169,21.751842327748225,False,False,False,False,0.460000991821289,0.4400000572204581,0.6600000858306871,LH,LHLLHH,20.299999237060547,2025-11-03,24.420000076293945,2025-11-14,24.920000076293945,0.23,20.34000015258789,20.34000015258789,SB1-2025/10/21,True,True,True,False,False,False,False,False,False,True,0.89,8,5,True,2.0,1.0,22.61,24.920000076293945,27.23000015258789,29.54000022888184,4.HK
2025-11-21,0004.HK,23.280000686645508,23.280000686645508,22.68000030517578,22.86000061035156,22.86000061035156,1740921,0.0,0.0,23.26930197260366,22.681805342897658,22.358551387387475,22.17621397379448,21.8197216305349,True,True,True,False,0.6000003814697266,0.4826666514078778,0.7239999771118167,HL,HLLHHL,24.520000457763672,2025-11-24,23.3799991607666,2025-11-26,23.15999984741211,-0.06,20.299999237060547,20.299999237060547,BY1-2025/10/21,True,True,True,True,False,False,False,False,False,False,0.0,0,0,False,,,,,,,4.HK
2025-10-30,0868.HK,9.479999542236328,9.59000015258789,9.350000381469728,9.380000114440918,9.380000114440918,7894353,0.0,0.0,9.162675649936013,9.026894409976904,8.821296477254533,8.537563891176578,8.313807282680234,True,True,True,False,0.2399997711181623,0.256250083446502,0.384375125169753,HH,HHHLHH,8.949999809265137,2025-11-03,9.699999809265137,2025-11-11,9.729999542236328,0.09,8.449999809265137,8.449999809265137,TP2-2025/07/30,True,True,True,False,False,True,False,False,False,False,0.0,0,0,False,,,,,,,868.HK
