Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS2,BOSS_STATUS,buy_price,tp1_price,tp2_price,SNO
2025-09-23,2097.HK,391.6000061035156,412.3999938964844,389.7999877929688,410.0,410.0,1267937,0.0,0.0,LH,LHLLHH,371.6000061035156,2025-10-08,444.2000122070313,2025-10-16,465.7999877929688,371.7999877929688,False,False,False,False,False,True,0.83,5.0,3.0,1.0,1.0,True,SB1-2025/09/23,418.7,465.7999877929688,512.8999755859377,2097.HK
2025-09-15,0023.HK,12.489999771118164,12.489999771118164,12.239999771118164,12.239999771118164,12.239999771118164,765141,0.0,0.0,LH,LHLLHH,11.640000343322754,2025-09-26,12.789999961853027,2025-10-09,13.199999809265137,11.68000030517578,False,False,False,False,False,True,0.57,4.0,2.0,0.0,2.0,False,,,,,23.HK
2025-10-02,2331.HK,17.829999923706055,17.850000381469727,17.43000030517578,17.540000915527344,17.540000915527344,4618208,0.0,0.0,LH,LHLLHH,16.43000030517578,2025-10-14,18.15999984741211,2025-10-24,18.82999992370605,16.469999313354492,False,False,False,False,False,True,0.38,3.0,1.0,2.0,0.0,False,,,,,2331.HK
2025-10-02,0267.HK,11.399999618530272,11.520000457763672,11.350000381469728,11.350000381469728,11.350000381469728,12526849,0.0,0.0,LH,LHLLHH,10.81999969482422,2025-10-08,11.979999542236328,2025-11-02,12.050000190734863,10.9399995803833,False,False,False,False,False,True,0.57,8.0,2.0,3.0,3.0,False,,,,,267.HK
2025-09-01,0003.HK,7.070000171661377,7.079999923706055,7.039999961853027,7.050000190734863,6.929999828338623,16376597,0.0,0.0,LH,LHLLHH,6.78000020980835,2025-09-04,7.119999885559082,2025-09-11,7.139999866485596,6.829999923706055,False,False,False,False,False,True,1.0,5.0,2.0,2.0,1.0,True,SB1-2025/09/01,6.96,7.139999866485596,7.319999732971191,3.HK
2025-09-25,0003.HK,6.840000152587891,6.840000152587891,6.760000228881836,6.769999980926514,6.769999980926514,22080144,0.0,0.0,,,0.0,,0.0,,0.0,0.0,False,False,False,True,False,False,0.0,,,,,False,CL1-2025/09/01,,,,3.HK
2025-09-01,3328.HK,6.710000038146973,6.789999961853027,6.659999847412109,6.659999847412109,6.659999847412109,18213913,0.0,0.0,,,0.0,,0.0,,0.0,0.0,False,False,False,True,False,False,0.0,,,,,False,CL1-2025/05/22,,,,3328.HK
2025-10-02,82331.HK,16.06999969482422,16.06999969482422,16.059999465942383,16.059999465942383,16.059999465942383,3500,0.0,0.0,LH,LHLLHH,15.170000076293944,2025-10-14,16.979999542236328,2025-10-23,17.020000457763672,15.270000457763672,False,False,False,False,False,True,0.67,4.0,3.0,0.0,0.0,False,,,,,82331.HK
2025-09-29,0857.HK,7.159999847412109,7.329999923706055,7.119999885559082,7.28000020980835,7.28000020980835,151161198,0.0,0.0,LH,LHLLHH,6.989999771118164,2025-09-30,8.010000228881836,2025-10-23,8.149999618530273,7.03000020980835,False,False,False,False,False,True,0.73,11.0,3.0,6.0,2.0,False,,,,,857.HK
2025-09-29,0883.HK,19.190000534057617,19.299999237060547,19.1299991607666,19.280000686645508,19.280000686645508,55799995,0.0,0.0,LH,LHLLHH,18.420000076293945,2025-10-13,20.059999465942383,2025-10-27,20.239999771118164,18.450000762939453,False,False,False,False,False,True,0.6,6.0,3.0,2.0,1.0,False,,,,,883.HK
2025-09-12,0914.HK,24.559999465942383,24.940000534057617,23.63999938964844,23.84000015258789,23.84000015258789,11914306,0.0,0.0,LH,LHLLHH,22.420000076293945,2025-09-18,25.0,2025-10-16,25.89999961853028,22.68000030517578,False,False,False,False,False,True,0.72,13.0,4.0,6.0,3.0,False,,,,,914.HK
2025-09-01,0992.HK,11.279999732971191,11.460000038146973,11.0600004196167,11.0600004196167,11.0600004196167,71443125,0.0,0.0,LH,LHLLHH,10.539999961853027,2025-09-08,12.020000457763672,2025-09-19,12.4399995803833,10.59000015258789,False,False,False,False,False,True,0.89,8.0,3.0,2.0,3.0,True,SB1-2025/09/01,11.49,12.4399995803833,13.3899991607666,992.HK
