index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,VOLATILITY,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,medium_bullish,weak_bullish,SNO
2021-05-11,1033.HK,0.7799999713897705,0.7799999713897705,0.7400000095367432,0.7699999809265137,0.7699999809265137,22916000,0.0,0.0,0.7337203574447684,0.7242439260142566,0.7176555670082503,0.6917367263131353,0.6652333175759018,True,True,True,False,0.0399999618530273,0.0226666688919067,0.0340000033378601,HL,HLHHLL,0.8500000238418579,2021-05-13,0.7400000095367432,2021-05-14,0.7300000190734863,-0.14,0.6700000166893005,0.6700000166893005,BY1-2021/04/19,True,True,True,True,False,False,False,False,False,False,0.0,0,0,False,,,1033.HK
2021-05-12,1033.HK,0.7699999809265137,0.8199999928474426,0.7799999713897705,0.7900000214576721,0.7900000214576721,14880000,0.0,0.0,0.7439530236289327,0.7299618473571623,0.7204926044376394,0.6936825341377796,0.6662274745789438,True,True,True,False,0.0400000214576721,0.0240000009536743,0.0360000014305114,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP1-2021/04/19,False,False,False,False,True,False,False,False,False,False,0.0,0,0,False,,,1033.HK
2022-05-30,1033.HK,0.6200000047683716,0.6200000047683716,0.5899999737739563,0.6100000143051147,0.6100000143051147,6570000,0.0,0.0,0.5957334898189279,0.5909138550859296,0.6071634184417628,0.6343580794462096,0.6652150429089229,False,False,False,False,0.0300000309944152,0.0185714108603341,0.0278571162905011,HL,HLHHHL,0.6399999856948853,2022-06-06,0.6200000047683716,2022-06-08,0.6000000238418579,-0.06,0.5600000023841858,0.5400000214576721,BY1-2022/04/29,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,1033.HK
2022-05-31,1033.HK,0.6100000143051147,0.6299999952316284,0.6000000238418579,0.6299999952316284,0.6299999952316284,7897000,0.0,0.0,0.601963763530328,0.5943126498812078,0.6080589704727379,0.6342717807488911,0.6649344449194623,False,False,False,False,0.0299999713897705,0.0185714108603341,0.0278571162905011,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP1-2022/04/29,False,False,False,False,True,False,False,False,False,False,0.0,0,0,False,,,1033.HK
2013-05-29,1050.HK,0.2152770012617111,0.2222220003604889,0.2118050009012222,0.2222220003604889,0.0681463256478309,453980,0.0,0.0,0.2157761357532387,0.2153681087656654,0.2144024501417183,0.2049063535949635,0.1844096070792215,True,True,True,False,0.0104169994592666,0.0037394613027572,0.0056091919541359,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2013/05/14,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,1050.HK
2013-06-24,1050.HK,0.1909720003604889,0.1909720003604889,0.1875,0.1909720003604889,0.0585632435977458,601920,0.0,0.0,0.2064418241390885,0.2106368195653477,0.2126098822175291,0.2063387288167021,0.1872371498178626,False,False,False,False,0.0034720003604888,0.0062004998326301,0.0093007497489452,,,0.0,,0.0,,0.0,0.0,0.0,0.0,CL1-2013/05/14,False,False,False,False,False,False,False,True,False,False,0.0,0,0,False,,,1050.HK
2014-09-15,1050.HK,0.28125,0.28125,0.2708329856395721,0.2777769863605499,0.0939627736806869,1526400,0.0,0.0,0.2777187529933492,0.2744707282960138,0.2697931387958559,0.2689182557713607,0.2608283224417866,True,True,True,False,0.0104170143604279,0.0089284990515027,0.0133927485772541,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2014/08/25,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,1050.HK
2014-09-29,1050.HK,0.25,0.25,0.2430550009012222,0.2430550009012222,0.0822174623608589,1304640,0.0,0.0,0.2665637562258554,0.2703908555848218,0.2694914911247213,0.2689950981784307,0.2615037551356963,False,False,False,False,0.0069449990987777,0.0085646679004033,0.012847001850605,,,0.0,,0.0,,0.0,0.0,0.0,0.0,CL1-2014/08/25,False,False,False,False,False,False,False,True,False,False,0.0,0,0,False,,,1050.HK
2016-10-27,1050.HK,0.4861109852790832,0.4861109852790832,0.4722220003604889,0.4861109852790832,0.2077279090881347,3326400,0.0,0.0,0.4579370182899819,0.4500339343939343,0.4464105976270298,0.4285191005230882,0.3737346301037569,True,True,True,False,0.0138889849185943,0.0114087888172694,0.0171131832259042,HL,HLLHLL,0.493054986000061,2016-10-28,0.4652769863605499,2016-11-04,0.4513880014419555,-0.08,0.4236109852790832,0.4236109852790832,BY1-2016/10/18,True,True,True,True,False,False,False,False,False,False,0.0,0,0,False,,,1050.HK
2021-02-08,1050.HK,1.1597219705581665,1.256943941116333,1.048611044883728,1.25,0.8659124970436096,26452800,0.0,0.0,1.0579306915079267,0.939943554656418,0.8619055751662306,0.8186045441085117,0.785475792604878,True,True,True,False,0.2083328962326049,0.0662035902341206,0.099305385351181,HL,HLLHLL,1.375,2021-02-09,0.993054986000061,2021-02-26,0.9791659712791444,-0.29,0.75,0.75,BY1-2021/01/12,True,True,True,True,False,False,False,False,False,False,0.0,0,0,False,,,1050.HK
2024-03-20,1050.HK,0.5,0.5099999904632568,0.4650000035762787,0.5099999904632568,0.4553311169147491,88000,0.0,0.0,0.4762588226062816,0.4702535263612957,0.4901005779089647,0.5457791674897491,0.6860324264008114,False,False,False,False,0.0449999868869781,0.0129166667660077,0.0193750001490115,HL,HLLHLL,0.5099999904632568,2024-03-27,0.4550000131130218,2024-04-03,0.4050000011920929,-0.21,0.4099999964237213,0.4099999964237213,BY1-2024/02/29,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,1050.HK
2024-04-17,1050.HK,0.4749999940395355,0.550000011920929,0.4650000035762787,0.5400000214576721,0.4821153283119201,1342000,0.0,0.0,0.4923107364910929,0.4825587736605684,0.487410304633338,0.5295598767903562,0.6630364494658174,False,False,False,False,0.0850000083446502,0.0129166717330614,0.0193750075995921,HH,HHHLHH,0.4850000143051147,2024-04-22,0.550000011920929,2024-04-23,0.6000000238418579,0.24,0.4050000011920929,0.4050000011920929,TP1-2024/02/29,False,False,True,False,True,False,False,False,False,False,0.0,0,0,False,,,1050.HK
2024-04-23,1050.HK,0.550000011920929,0.6000000238418579,0.5299999713897705,0.550000011920929,0.4910433888435364,3664000,0.0,0.0,0.5162919715191405,0.4982451208667874,0.4941742885301293,0.5298109551090247,0.6589294855128623,False,False,True,False,0.0700000524520874,0.021153851197316,0.0317307767959741,HH,HHHLHH,0.5,2024-05-02,0.7200000286102295,2024-05-29,0.7699999809265137,0.54,0.4600000083446502,0.4050000011920929,TP2-2024/02/29,False,False,True,False,False,True,False,False,False,False,0.0,0,0,False,,,1050.HK
2024-05-28,1050.HK,0.6100000143051147,0.699999988079071,0.6000000238418579,0.699999988079071,0.6249642968177795,5967796,0.0,0.0,0.5709037271693415,0.5457561677032317,0.5246831160311021,0.5344794623195163,0.6391435282638552,False,False,True,False,0.0999999642372131,0.0116666704416275,0.0175000056624412,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP3-2024/02/29,False,False,False,False,False,False,True,False,False,False,0.0,0,0,False,,,1050.HK
2006-10-16,1051.HK,153.74288940429688,153.74288940429688,99.66780090332033,103.37883758544922,83.15457153320312,84679,0.0,0.0,107.57469566811638,103.52788278274303,103.49736978078636,114.06955396782654,133.2512704528254,False,False,True,False,54.07508850097655,8.90648447672526,17.81296895345052,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2006/09/22,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,1051.HK
2006-10-19,1051.HK,90.12513732910156,91.71558380126952,81.64277648925781,83.23321533203125,66.9500961303711,22982,0.0,0.0,98.59423170217646,99.83540947284342,101.77079023483375,112.56847241510052,133.2512704528254,False,False,False,False,10.072807312011705,9.436631774902343,18.873263549804687,,,0.0,,0.0,,0.0,0.0,0.0,0.0,CL1-2006/09/22,False,False,False,False,False,False,False,True,False,False,0.0,0,0,False,,,1051.HK
2007-01-26,1051.HK,79.52218627929688,80.58248138427734,77.4015884399414,77.4015884399414,62.25932312011719,9,0.0,0.0,83.31844495823844,83.04891864199256,83.88383892264085,90.74661618063502,116.45376184241616,False,False,False,False,3.180892944335937,3.8524083455403657,7.704816691080731,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2006/12/12,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,1051.HK
2007-02-22,1051.HK,95.42662048339844,107.08987426757812,95.42662048339844,102.31854248046876,82.30170440673828,115403,0.0,0.0,91.14533015124194,87.7462738387944,85.81415569715789,89.75854382146596,112.7131116964064,False,False,True,False,11.663253784179688,4.809197562081474,9.618395124162948,HH,HHHLHH,92.77587890625,2007-02-23,106.55972290039062,2007-02-27,108.6803207397461,0.17,75.28099822998047,75.28099822998047,TP1-2006/12/12,False,False,True,False,True,False,False,False,False,False,0.0,0,0,False,,,1051.HK
2007-03-01,1051.HK,104.43913269042967,132.00682067871094,102.84869384765624,124.58475494384766,100.21192932128906,213539,0.0,0.0,102.7036237443464,95.19250394027,89.75270475186284,91.4291765705773,112.49611900828842,False,False,True,False,29.1581268310547,6.210303170340403,12.420606340680806,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP2-2006/12/12,False,False,False,False,False,True,False,False,False,False,0.0,0,0,False,,,1051.HK
2007-03-02,1051.HK,130.946533203125,137.8384552001953,101.25824737548828,108.6803207397461,87.41890716552734,166763,0.0,0.0,103.79029592532817,96.36535757500708,90.49496420236808,91.77078338580836,112.4657142412084,False,False,True,False,36.58020782470703,8.444498334612167,16.888996669224333,HH,HHLLLH,91.71558380126952,2007-03-05,123.5244598388672,2007-03-15,135.18771362304688,0.47,84.82366180419922,75.28099822998047,TP3-2006/12/12,False,True,True,False,False,False,True,False,False,False,0.0,0,0,False,,,1051.HK
2010-01-08,1051.HK,28.627986907958984,28.627986907958984,27.03754234313965,27.56769180297852,22.1745548248291,2525816,0.0,0.0,26.837783288864863,26.56685909060267,26.76801769782784,28.473005266268117,37.89990128259344,False,False,False,False,1.590444564819336,0.7172589021570528,1.0758883532355792,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2009/12/03,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,1051.HK
2010-02-01,1051.HK,24.65187644958496,24.91695022583008,24.121728897094727,24.65187644958496,19.82916641235352,1934290,0.0,0.0,25.482859141214245,26.007407394253736,26.44108024074524,27.843766150105065,36.4984344832,False,False,False,False,0.7952213287353551,0.9043700274299186,1.356555041144878,LL,LLHHHL,25.97724723815918,2010-02-04,25.182025909423828,2010-02-05,24.386802673339844,-0.06,24.121728897094727,24.121728897094727,CL1-2009/12/03,False,False,False,False,False,False,False,True,False,False,0.0,0,0,False,,,1051.HK
2019-09-19,1051.HK,3.299933910369873,3.359931945800781,3.179935932159424,3.359931945800781,2.827589273452759,242104,0.0,0.0,3.188194551698389,3.1260123020154995,3.2121038090007747,3.4164072725471417,3.8340001454301382,False,False,False,False,0.1799960136413569,0.0899982111794608,0.1349973167691912,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2019/09/06,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,1051.HK
2020-01-06,1051.HK,3.4799299240112305,3.4799299240112305,3.359931945800781,3.359931945800781,2.827589273452759,230554,0.0,0.0,3.405745974868127,3.3395091165284234,3.25524131217238,3.2593959603234013,3.5481515456625994,False,False,True,False,0.1199979782104496,0.0919983228047688,0.1379974842071533,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2019/12/17,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,1051.HK
2020-01-29,1051.HK,3.119936943054199,3.179935932159424,2.9999399185180664,3.0599379539489746,2.5751256942749023,386641,0.0,0.0,3.205861161463215,3.2491660754195038,3.2439399417378594,3.253086771444581,3.51307754211837,False,False,False,False,0.1799960136413574,0.1079979260762532,0.1619968891143798,LL,LLLHLL,3.179935932159424,2020-01-30,3.119936943054199,2020-02-04,2.9999399185180664,-0.06,2.9999399185180664,2.9999399185180664,CL1-2019/12/17,False,False,False,False,False,False,False,True,False,False,0.0,0,0,False,,,1051.HK
2023-04-18,1051.HK,2.0899999141693115,2.0899999141693115,2.009999990463257,2.0899999141693115,1.8475455045700075,58260,0.0,0.0,2.0299738136461185,2.03279573909789,2.0964916293939337,2.1423671804376707,2.267146015997107,False,False,False,False,0.0799999237060546,0.0924999862909316,0.1387499794363974,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2023/03/23,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,1051.HK
2023-04-26,1051.HK,2.0,2.150000095367432,2.0,2.150000095367432,1.9005851745605469,50416,0.0,0.0,2.0514391649953456,2.04306090032025,2.0878278376825574,2.132536207695141,2.257211404494747,False,False,False,False,0.150000095367432,0.0773333152135212,0.1159999728202819,LH,LHHLHH,2.009999990463257,2023-04-28,2.200000047683716,2023-05-05,2.200000047683716,0.09,1.909999966621399,1.840000033378601,TP1-2023/03/23,False,False,False,False,True,False,False,False,False,False,0.0,0,0,False,,,1051.HK
2023-05-31,1051.HK,1.9600000381469729,2.0,1.7999999523162842,1.7999999523162842,1.5911874771118164,135347,0.0,0.0,2.001286729178672,2.0490790778701657,2.08004965614244,2.115086853998579,2.2299990281058,False,False,False,False,0.2000000476837158,0.0626666784286498,0.0940000176429748,LL,LLHHHL,2.0799999237060547,2023-06-05,2.0,2023-06-07,1.909999966621399,-0.08,1.7999999523162842,1.7999999523162842,CL2-2023/03/23,False,False,False,False,False,False,False,False,True,False,0.0,0,0,False,,,1051.HK
2025-03-20,1051.HK,3.819999933242798,3.940000057220459,3.7100000381469727,3.7100000381469727,3.6617136001586914,174966,0.0,0.0,3.876017447426806,3.799215546651081,3.5988953979335783,3.319356388296587,2.86543292029854,True,True,True,False,0.2300000190734863,0.0992857728685651,0.1489286593028477,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2025/02/14,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,1051.HK
2025-03-27,1051.HK,3.950000047683716,5.300000190734863,3.940000057220459,4.5,4.441431522369385,2864479,0.0,0.0,3.999984814027882,3.884390656846824,3.674167814045464,3.3847987998439684,2.9100301155643304,True,True,True,False,1.3600001335144043,0.1142857585634504,0.1714286378451756,HH,HHHLLH,4.03000020980835,2025-04-01,4.389999866485596,2025-04-03,4.46999979019165,0.11,3.700000047683716,3.5799999237060547,TP3-2025/02/14,True,True,True,False,True,True,True,False,False,False,0.0,0,0,False,,,1051.HK
2000-10-10,1052.HK,1.0616819858551023,1.0616819858551023,1.0616819858551023,1.0616819858551023,0.2678855657577514,41518,0.0,0.0,1.0810487249674687,1.0925824743523465,1.1148573726003748,1.1069579802137184,1.0667643088111798,False,False,False,False,0.0,0.0112646130415109,0.0168969195622663,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2000/09/25,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,1052.HK
2000-10-18,1052.HK,0.9701579809188844,0.9793099761009216,0.9701579809188844,0.9701579809188844,0.244792029261589,907281,0.0,0.0,1.0374607336306942,1.066125480562918,1.0990026228538838,1.0993761817822147,1.0667643088111798,False,False,False,False,0.0091519951820372,0.0147846845480111,0.0221770268220167,LH,LHLLHH,0.942700982093811,2000-10-19,1.0616819858551023,2000-11-01,1.0616819858551023,0.13,0.9518529772758484,0.9518529772758484,CL1-2000/09/25,False,False,False,False,False,False,False,True,False,False,0.0,0,0,False,,,1052.HK
2001-04-04,1052.HK,1.1898159980773926,1.2081209421157837,1.1898159980773926,1.2081209421157837,0.3125852346420288,273151,0.0,0.0,1.1855596147963534,1.168187416414516,1.1422012172320952,1.1174462772613707,1.0914229338155708,True,True,True,False,0.0183049440383911,0.0281614340268648,0.0422421510402972,HL,HLLHLL,1.2447309494018557,2001-04-06,1.1440540552139282,2001-04-09,1.0982919931411743,-0.12,1.0982919931411743,1.0982919931411743,BY1-2001/03/26,True,True,True,True,False,False,False,False,False,False,0.0,0,0,False,,,1052.HK
2001-04-17,1052.HK,1.1989690065383911,1.299646019935608,1.1989690065383911,1.299646019935608,0.3362659811973572,3878747,0.0,0.0,1.2080668650247135,1.1862945451525508,1.1563574857649623,1.1276351705809045,1.0968382872862754,True,True,True,False,0.1006770133972168,0.0346484865461077,0.0519727298191615,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP1-2001/03/26,False,False,False,False,True,False,False,False,False,False,0.0,0,0,False,,,1052.HK
2001-04-18,1052.HK,1.3271030187606812,1.3911700248718262,1.3271030187606812,1.3728649616241455,0.355210542678833,4620709,0.0,0.0,1.2380301553155195,1.2025180596283418,1.164847975014342,1.132491206047107,1.0990377030180511,True,True,True,False,0.064067006111145,0.040270717938741,0.0604060769081115,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP2-2001/03/26,False,False,False,False,False,True,False,False,False,False,0.0,0,0,False,,,1052.HK
2001-04-20,1052.HK,1.2813409566879272,1.317950963973999,1.2447309494018557,1.2447309494018557,0.3220575451850891,926780,0.0,0.0,1.252498990124712,1.2160801791238804,1.174094056396375,1.1384911636076351,1.102001378783904,True,True,True,False,0.0732200145721433,0.0451519966125488,0.0677279949188232,HL,HLHHHL,1.5284570455551147,2001-05-08,1.446084976196289,2001-05-11,1.4094749689102173,-0.08,1.1989690065383911,1.0982919931411743,BY1-2001/04/06,True,True,True,True,False,False,False,False,False,False,0.0,0,0,False,,,1052.HK
2001-05-03,1052.HK,1.3728649616241455,1.4369319677352903,1.3545600175857544,1.4369319677352903,0.3717870116233825,4071465,0.0,0.0,1.332966303989214,1.2789056805264074,1.2158288834297646,1.1652380316649775,1.1150816229017757,True,True,True,False,0.0823719501495359,0.0486223176121712,0.0729334764182568,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP1-2001/04/06,False,False,False,False,True,False,False,False,False,False,0.0,0,0,False,,,1052.HK
2001-05-04,1052.HK,1.4369319677352903,1.5009989738464355,1.4369319677352903,1.491847038269043,0.3859955966472626,8141503,0.0,0.0,1.3618537102219104,1.297422320330115,1.2266531247960109,1.1717055367462463,1.1180837377652597,True,True,True,False,0.0640670061111452,0.0532994761186487,0.0799492141779731,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP3-2001/03/26,False,False,False,False,False,False,True,False,False,False,0.0,0,0,False,,,1052.HK
2001-05-22,1052.HK,1.5193040370941162,1.574218988418579,1.5193040370941162,1.574218988418579,0.407308280467987,1630166,0.0,0.0,1.4827791155181198,1.4216128699945625,1.3234407649360398,1.2373279303713898,1.151079663844735,True,True,True,False,0.0549149513244628,0.0423299521207809,0.0634949281811714,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP2-2001/04/06,False,False,False,False,False,True,False,False,False,False,0.0,0,0,False,,,1052.HK
2001-05-28,1052.HK,1.574218988418579,1.7206579446792605,1.574218988418579,1.7023530006408691,0.4404611885547638,3190406,0.0,0.0,1.5545140493448948,1.478035128954961,1.3648996173514465,1.265422649367396,1.1652838480284575,True,True,True,False,0.1464389562606813,0.0440461412072181,0.0660692118108272,HH,HHHLHH,1.5925240516662598,2001-05-30,1.9220119714736936,2001-06-05,2.059298038482666,0.29,1.4094749689102173,1.3087979555130005,TP3-2001/04/06,True,True,True,False,False,False,True,False,False,False,0.0,0,0,False,,,1052.HK
2011-10-18,1052.HK,3.0,3.0,2.9100000858306885,2.9200000762939453,1.2138923406600952,572000,0.0,0.0,3.0051414697744323,3.014682751121042,3.178450158286335,3.4474018252022485,3.751507312195799,False,False,False,False,0.0899999141693115,0.1193749606609344,0.1790624409914017,HL,HLHHHL,3.400000095367432,2011-10-28,3.259999990463257,2011-11-02,3.140000104904175,-0.08,2.859999895095825,2.630000114440918,BY1-2011/09/28,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,1052.HK
2011-10-24,1052.HK,3.119999885559082,3.259999990463257,3.0899999141693115,3.200000047683716,1.330292582511902,2440000,0.0,0.0,3.0748127398890315,3.0483611659348533,3.1701350275270044,3.4223141218184763,3.731632766425142,False,False,False,False,0.1700000762939453,0.1287499964237213,0.193124994635582,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP1-2011/09/28,False,False,False,False,True,False,False,False,False,False,0.0,0,0,False,,,1052.HK
2011-11-08,1052.HK,3.400000095367432,3.7300000190734863,3.400000095367432,3.700000047683716,1.5381510257720947,3243730,0.0,0.0,3.347485389701526,3.239779169108679,3.230011153984573,3.4047979402053565,3.697873547014371,False,False,True,False,0.3299999237060542,0.1199999898672104,0.1799999848008156,HH,HHHLLH,3.319999933242798,2011-11-14,3.509999990463257,2011-11-15,3.559999942779541,0.07,3.0899999141693115,2.9100000858306885,TP3-2011/09/28,False,False,True,False,False,True,True,False,False,False,0.0,0,0,False,,,1052.HK
2003-10-08,1055.HK,1.75,1.7833329439163208,1.666666030883789,1.7166659832000732,1.4353381395339966,43869000,0.0,0.0,1.7489563871182312,1.7346292699568888,1.6835443464696036,1.600126032535175,1.5407660549336055,True,True,True,False,0.1166669130325317,0.0739583745598793,0.1109375618398189,HL,HLHHHL,1.9666659832000728,2003-10-21,1.8833329677581787,2003-10-24,1.75,-0.11,1.666666030883789,1.5833330154418943,BY1-2003/09/17,True,True,True,True,False,False,False,False,False,False,0.0,0,0,False,,,1055.HK
2003-10-09,1055.HK,1.7333329916000366,1.866665959358216,1.7333329916000366,1.850000023841858,1.5468214750289917,50787000,0.0,0.0,1.767327957431618,1.7446615094251472,1.690072020092045,1.60507403236303,1.5432300706221178,True,True,True,False,0.1333329677581789,0.0750000029802322,0.1125000044703484,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP1-2003/09/17,False,False,False,False,True,False,False,False,False,False,0.0,0,0,False,,,1055.HK
2003-10-21,1055.HK,1.899999976158142,1.9666659832000728,1.866665959358216,1.899999976158142,1.5886274576187134,49938000,0.0,0.0,1.8335084777223067,1.7932649361875437,1.7293002216328484,1.6385124582371824,1.5610075568498418,True,True,True,False,0.1000000238418572,0.0744444449742634,0.1116666674613952,HH,HHHLHH,1.75,2003-10-24,2.166666030883789,2003-11-03,2.183332920074463,0.25,1.666666030883789,1.5833330154418943,TP2-2003/09/17,True,True,True,False,False,True,False,False,False,False,0.0,0,0,False,,,1055.HK
